process (yes if 1),Site Name,start_date,end_date,satellite,tile,resolution (m),flag
1,_v14,2015-06-01,2017-01-01,S2,45WVQ,20,1
1,_v14,2018-01-01,2019-12-31,S2,51XXA,20,1
1,_v14,2021-05-01,2021-12-31,S2,45WVQ,20,1
1,_v14,2021-05-01,2021-12-31,S2,51XXA,20,1
1,_v14,2021-05-01,2021-12-31,S2,57WWS,20,1
1,_v14,2021-05-01,2021-12-31,S2,51WWQ,20,1
1,_v14,2021-05-01,2021-12-31,S2,08WNV,20,1
1,_v14,2021-05-01,2021-12-31,S2,41WPP,20,1
1,_v14,2021-05-01,2021-12-31,S2,45WVT,20,1
1,_v14,2021-05-01,2021-12-31,S2,03VXJ,20,1